Semilla Aleatoria,Número de Individuos,Número de Generaciones,Operador de Selección,Operador de Cruce,Operador de Mutación,Operador de Reemplazo,Tiempo de Simulación
0,5,10,Torneo,1 punto,Uniforme,Generacional,12.93030322
0,5,10,Torneo,1 punto,Gaussiana,Generacional,20.17391334
0,5,10,Torneo,2 puntos,Uniforme,Generacional,14.71969719
0,5,10,Torneo,2 puntos,Gaussiana,Generacional,12.5860467
0,5,10,Torneo,1 punto,Uniforme,Elitista,20.14705912
0,5,10,Torneo,1 punto,Gaussiana,Elitista,14.60281712
0,5,10,Torneo,2 puntos,Uniforme,Elitista,20.15151545
0,5,10,Torneo,2 puntos,Gaussiana,Elitista,11.71666684
0,5,15,Torneo,1 punto,Uniforme,Generacional,13.77213135
0,5,15,Torneo,1 punto,Gaussiana,Generacional,14.36119424
0,5,15,Torneo,2 puntos,Uniforme,Generacional,13.1687502
0,5,15,Torneo,2 puntos,Gaussiana,Generacional,20.14084537
0,5,15,Torneo,1 punto,Uniforme,Elitista,12.94642876
0,5,15,Torneo,1 punto,Gaussiana,Elitista,12.70243921
0,5,15,Torneo,2 puntos,Uniforme,Elitista,13.47844848
0,5,15,Torneo,2 puntos,Gaussiana,Elitista,14.1482145
0,8,10,Torneo,1 punto,Uniforme,Generacional,20.0000003
0,8,10,Torneo,1 punto,Gaussiana,Generacional,13.78125021
0,8,10,Torneo,2 puntos,Uniforme,Generacional,13.45075778
0,8,10,Torneo,2 puntos,Gaussiana,Generacional,14.23095259
0,8,10,Torneo,1 punto,Uniforme,Elitista,13.34338255
0,8,10,Torneo,1 punto,Gaussiana,Elitista,13.27118664
0,8,10,Torneo,2 puntos,Uniforme,Elitista,12.59027797
0,8,10,Torneo,2 puntos,Gaussiana,Elitista,9.688235438
0,8,15,Torneo,1 punto,Uniforme,Generacional,20.13245063
0,8,15,Torneo,1 punto,Gaussiana,Generacional,11.89473702
0,8,15,Torneo,2 puntos,Uniforme,Generacional,13.11864426
0,8,15,Torneo,2 puntos,Gaussiana,Generacional,13.70769251
