Semilla Aleatoria,Número de Individuos,Número de Generaciones,Operador de Selección,Operador de Cruce,Operador de Mutación,Operador de Reemplazo,Tiempo de Simulación
0,5,10,Torneo,1 punto,Uniforme,Generacional,13.47083353
0,5,10,Torneo,1 punto,Gaussiana,Generacional,11.9897961
0,5,10,Torneo,2 puntos,Uniforme,Generacional,13.25833353
0,5,10,Torneo,2 puntos,Gaussiana,Generacional,20.13157925
0,5,10,Torneo,1 punto,Uniforme,Elitista,15.23437523
0,5,10,Torneo,1 punto,Gaussiana,Elitista,14.40267879
0,5,10,Torneo,2 puntos,Uniforme,Elitista,9.650000144
0,5,10,Torneo,2 puntos,Gaussiana,Elitista,11.45972239
0,5,15,Torneo,1 punto,Uniforme,Generacional,20.18018048
0,5,15,Torneo,1 punto,Gaussiana,Generacional,14.9577467
0,5,15,Torneo,2 puntos,Uniforme,Generacional,14.06250021
0,5,15,Torneo,2 puntos,Gaussiana,Generacional,14.13965538
0,5,15,Torneo,1 punto,Uniforme,Elitista,20.12269969
0,5,15,Torneo,1 punto,Gaussiana,Elitista,11.05714302
0,5,15,Torneo,2 puntos,Uniforme,Elitista,20.17699145
0,5,15,Torneo,2 puntos,Gaussiana,Elitista,14.45070444
0,8,10,Torneo,1 punto,Uniforme,Generacional,14.71969719
0,8,10,Torneo,1 punto,Gaussiana,Generacional,11.65909108
0,8,10,Torneo,2 puntos,Uniforme,Generacional,14.83529434
0,8,10,Torneo,2 puntos,Gaussiana,Generacional,20.13605472
0,8,10,Torneo,1 punto,Uniforme,Elitista,11.84848503
0,8,10,Torneo,1 punto,Gaussiana,Elitista,15.12238829
0,8,10,Torneo,2 puntos,Uniforme,Elitista,8.100000121
0,8,10,Torneo,2 puntos,Gaussiana,Elitista,11.75625018
0,8,15,Torneo,1 punto,Uniforme,Generacional,12.19333352
0,8,15,Torneo,1 punto,Gaussiana,Generacional,14.8654414
0,8,15,Torneo,2 puntos,Uniforme,Generacional,20.21708363
0,8,15,Torneo,2 puntos,Gaussiana,Generacional,15.03365407
0,8,15,Torneo,1 punto,Uniforme,Elitista,20.18018048
0,8,15,Torneo,1 punto,Gaussiana,Elitista,13.91764727
0,8,15,Torneo,2 puntos,Uniforme,Elitista,20.14184427
0,8,15,Torneo,2 puntos,Gaussiana,Elitista,10.80000016
45,5,10,Torneo,1 punto,Uniforme,Generacional,15.2727275
45,5,10,Torneo,1 punto,Gaussiana,Generacional,15.10985938
45,5,10,Torneo,2 puntos,Uniforme,Generacional,13.48717969
45,5,10,Torneo,2 puntos,Gaussiana,Generacional,12.87179506
45,5,10,Torneo,1 punto,Uniforme,Elitista,14.41973706
45,5,10,Torneo,1 punto,Gaussiana,Elitista,20.16528956
45,5,10,Torneo,2 puntos,Uniforme,Elitista,20.22988536
45,5,10,Torneo,2 puntos,Gaussiana,Elitista,13.1625002
45,5,15,Torneo,1 punto,Uniforme,Generacional,20.0000003
45,5,15,Torneo,1 punto,Gaussiana,Generacional,13.09767461
45,5,15,Torneo,2 puntos,Uniforme,Generacional,20.12738883
45,5,15,Torneo,2 puntos,Gaussiana,Generacional,9.827586353
45,5,15,Torneo,1 punto,Uniforme,Elitista,13.84225373
45,5,15,Torneo,1 punto,Gaussiana,Elitista,14.70714308
45,5,15,Torneo,2 puntos,Uniforme,Elitista,20.13793133
45,5,15,Torneo,2 puntos,Gaussiana,Elitista,13.90277798
45,8,10,Torneo,1 punto,Uniforme,Generacional,13.86328146
45,8,10,Torneo,1 punto,Gaussiana,Generacional,15.34675348
45,8,10,Torneo,2 puntos,Uniforme,Generacional,14.37460339
45,8,10,Torneo,2 puntos,Gaussiana,Generacional,13.75471719
45,8,10,Torneo,1 punto,Uniforme,Elitista,14.19178103
45,8,10,Torneo,1 punto,Gaussiana,Elitista,11.90326105
45,8,10,Torneo,2 puntos,Uniforme,Elitista,13.44222242
45,8,10,Torneo,2 puntos,Gaussiana,Elitista,11.71666684
45,8,15,Torneo,1 punto,Uniforme,Generacional,20.1562503
45,8,15,Torneo,1 punto,Gaussiana,Generacional,13.21311495
45,8,15,Torneo,2 puntos,Uniforme,Generacional,20.16260193
45,8,15,Torneo,2 puntos,Gaussiana,Generacional,13.18043498
45,8,15,Torneo,1 punto,Uniforme,Elitista,20.16949183
45,8,15,Torneo,1 punto,Gaussiana,Elitista,15.10694467
45,8,15,Torneo,2 puntos,Uniforme,Elitista,13.28260889
45,8,15,Torneo,2 puntos,Gaussiana,Elitista,12.88425945
90,5,10,Torneo,1 punto,Uniforme,Generacional,14.17254923
90,5,10,Torneo,1 punto,Gaussiana,Generacional,11.8965519
90,5,10,Torneo,2 puntos,Uniforme,Generacional,20.1250003
90,5,10,Torneo,2 puntos,Gaussiana,Generacional,12.76470607
90,5,10,Torneo,1 punto,Uniforme,Elitista,14.1482145
90,5,10,Torneo,1 punto,Gaussiana,Elitista,11.18250017
90,5,10,Torneo,2 puntos,Uniforme,Elitista,20.1600003
90,5,10,Torneo,2 puntos,Gaussiana,Elitista,15.90000024
90,5,15,Torneo,1 punto,Uniforme,Generacional,20.13986044
90,5,15,Torneo,1 punto,Gaussiana,Generacional,12.51063848
90,5,15,Torneo,2 puntos,Uniforme,Generacional,13.3762502
90,5,15,Torneo,2 puntos,Gaussiana,Generacional,12.81250019
90,5,15,Torneo,1 punto,Uniforme,Elitista,13.70454566
90,5,15,Torneo,1 punto,Gaussiana,Elitista,11.2633335
90,5,15,Torneo,2 puntos,Uniforme,Elitista,8.350000124
90,5,15,Torneo,2 puntos,Gaussiana,Elitista,16.00000024
90,8,10,Torneo,1 punto,Uniforme,Generacional,13.36071448
90,8,10,Torneo,1 punto,Gaussiana,Generacional,15.11285737
90,8,10,Torneo,2 puntos,Uniforme,Generacional,15.09605286
90,8,10,Torneo,2 puntos,Gaussiana,Generacional,11.84848503
90,8,10,Torneo,1 punto,Uniforme,Elitista,12.91354186
90,8,10,Torneo,1 punto,Gaussiana,Elitista,20.12903256
90,8,10,Torneo,2 puntos,Uniforme,Elitista,20.18018048
90,8,10,Torneo,2 puntos,Gaussiana,Elitista,14.70714308
90,8,15,Torneo,1 punto,Uniforme,Generacional,14.38196743
90,8,15,Torneo,1 punto,Gaussiana,Generacional,14.00000021
90,8,15,Torneo,2 puntos,Uniforme,Generacional,12.42000019
90,8,15,Torneo,2 puntos,Gaussiana,Generacional,13.71774214
90,8,15,Torneo,1 punto,Uniforme,Elitista,11.39545472
90,8,15,Torneo,1 punto,Gaussiana,Elitista,13.36209697
90,8,15,Torneo,2 puntos,Uniforme,Elitista,13.95333354
90,8,15,Torneo,2 puntos,Gaussiana,Elitista,12.58108127
